,Model,No_terms,k10
0,--Xpvc--,1.0,-0.21511924588597722
1,--Xpvc--Xfiller--,2.0,-0.19027468037943915
2,--Xdinp--Xldh--Xdinp*Xldh--,3.0,-0.11718017628094138
3,--Xfiller--Xdinp--Xldh--Xdinp*Xldh--,4.0,-0.10740234671627802
4,--Xfiller--Xstabiliser--Xdinp--Xldh--Xdinp*Xldh--,5.0,-0.11002070048026492
5,--Xfiller--Xstabiliser--Xdinp--Xldh--Xstabiliser*Xldh--Xdinp*Xldh--,6.0,-0.10118854238685192
6,--Xpvc--Xfiller--Xstabiliser--Xdinp--Xldh--Xstabiliser*Xldh--Xdinp*Xldh--,7.0,-0.08929213404290623
7,--Xpvc--Xfiller--Xstabiliser--Xdinp--Xldh--Xfiller*Xldh--Xstabiliser*Xldh--Xdinp*Xldh--,8.0,-0.08888367522070445
8,--Xpvc--Xfiller--Xstabiliser--Xdinp--Xldh--Xpvc*Xdinp--Xfiller*Xldh--Xstabiliser*Xldh--Xdinp*Xldh--,9.0,-0.09026785198223512
9,--Xpvc--Xfiller--Xfr--Xstabiliser--Xdinp--Xldh--Xpvc*Xdinp--Xfiller*Xldh--Xstabiliser*Xldh--Xdinp*Xldh--,10.0,-0.0930822303507676
10,--Xpvc--Xfiller--Xfr--Xstabiliser--Xdinp--Xldh--Xpvc*Xfr--Xpvc*Xdinp--Xfiller*Xldh--Xstabiliser*Xldh--Xdinp*Xldh--,11.0,-0.09439780108636021
11,--Xpvc--Xfiller--Xfr--Xstabiliser--Xdinp--Xldh--Xsph--Xpvc*Xfr--Xpvc*Xsph--Xfiller*Xldh--Xstabiliser*Xldh--Xdinp*Xldh--,12.0,-0.09757329986636795
12,--Xpvc--Xfiller--Xfr--Xstabiliser--Xdinp--Xldh--Xsph--Xpvc*Xfr--Xpvc*Xstabiliser--Xpvc*Xsph--Xfiller*Xldh--Xstabiliser*Xldh--Xdinp*Xldh--,13.0,-0.10040013056050939
13,--Xpvc--Xfiller--Xfr--Xstabiliser--Xldh--Xsph--Xpvc*Xfr--Xpvc*Xldh--Xfiller*Xstabiliser--Xfiller*Xldh--Xfiller*Xsph--Xfr*Xsph--Xstabiliser*Xldh--Xldh*Xsph--,14.0,-0.10762964466581389
14,--Xpvc--Xfiller--Xfr--Xstabiliser--Xldh--Xsph--Xpvc*Xfiller--Xpvc*Xfr--Xpvc*Xldh--Xfiller*Xstabiliser--Xfiller*Xldh--Xfiller*Xsph--Xfr*Xsph--Xstabiliser*Xldh--Xldh*Xsph--,15.0,-0.11159046017248225
15,--Xpvc--Xfiller--Xfr--Xstabiliser--Xldh--Xsph--Xpvc*Xfiller--Xpvc*Xfr--Xpvc*Xldh--Xfiller*Xfr--Xfiller*Xstabiliser--Xfiller*Xldh--Xfiller*Xsph--Xfr*Xsph--Xstabiliser*Xldh--Xldh*Xsph--,16.0,-0.11601158096138015
16,--Xpvc--Xfiller--Xfr--Xstabiliser--Xdinp--Xldh--Xsph--Xpvc*Xfiller--Xpvc*Xfr--Xpvc*Xstabiliser--Xpvc*Xldh--Xfiller*Xfr--Xfiller*Xldh--Xfiller*Xsph--Xstabiliser*Xldh--Xdinp*Xsph--Xldh*Xsph--,17.0,-0.12455772041445144
17,--Xpvc--Xfiller--Xfr--Xstabiliser--Xdinp--Xldh--Xsph--Xpvc*Xfiller--Xpvc*Xfr--Xpvc*Xstabiliser--Xpvc*Xldh--Xfiller*Xfr--Xfiller*Xldh--Xfiller*Xsph--Xstabiliser*Xldh--Xdinp*Xldh--Xdinp*Xsph--Xldh*Xsph--,18.0,-0.13146242879093206
18,--Xpvc--Xfiller--Xfr--Xstabiliser--Xdinp--Xldh--Xsph--Xpvc*Xfr--Xpvc*Xstabiliser--Xpvc*Xldh--Xfiller*Xstabiliser--Xfiller*Xldh--Xfiller*Xsph--Xfr*Xstabiliser--Xfr*Xdinp--Xstabiliser*Xdinp--Xstabiliser*Xsph--Xdinp*Xldh--Xldh*Xsph--,19.0,-0.14109450995962378
19,--Xpvc--Xfiller--Xfr--Xstabiliser--Xdinp--Xldh--Xsph--Xpvc*Xfr--Xpvc*Xstabiliser--Xpvc*Xldh--Xfiller*Xfr--Xfiller*Xstabiliser--Xfiller*Xldh--Xfiller*Xsph--Xfr*Xstabiliser--Xfr*Xdinp--Xstabiliser*Xdinp--Xstabiliser*Xsph--Xdinp*Xldh--Xldh*Xsph--,20.0,-0.15132645900780098
20,--Xpvc--Xfiller--Xfr--Xstabiliser--Xdinp--Xldh--Xsph--Xpvc*Xfiller--Xpvc*Xfr--Xpvc*Xstabiliser--Xpvc*Xldh--Xpvc*Xsph--Xfiller*Xstabiliser--Xfiller*Xldh--Xfiller*Xsph--Xfr*Xstabiliser--Xfr*Xdinp--Xstabiliser*Xdinp--Xstabiliser*Xsph--Xdinp*Xldh--Xldh*Xsph--,21.0,-0.17147614161580865
21,--Xpvc--Xfiller--Xfr--Xstabiliser--Xdinp--Xldh--Xsph--Xpvc*Xfiller--Xpvc*Xfr--Xpvc*Xstabiliser--Xpvc*Xldh--Xfiller*Xstabiliser--Xfiller*Xldh--Xfiller*Xsph--Xfr*Xstabiliser--Xfr*Xdinp--Xstabiliser*Xdinp--Xstabiliser*Xldh--Xstabiliser*Xsph--Xdinp*Xldh--Xdinp*Xsph--Xldh*Xsph--,22.0,-0.18802644722369002
22,--Xpvc--Xfiller--Xfr--Xstabiliser--Xdinp--Xldh--Xsph--Xpvc*Xfiller--Xpvc*Xfr--Xpvc*Xstabiliser--Xpvc*Xldh--Xfiller*Xfr--Xfiller*Xstabiliser--Xfiller*Xldh--Xfiller*Xsph--Xfr*Xstabiliser--Xfr*Xdinp--Xfr*Xldh--Xstabiliser*Xdinp--Xstabiliser*Xldh--Xstabiliser*Xsph--Xdinp*Xsph--Xldh*Xsph--,23.0,-0.22264713889736332
23,--Xpvc--Xfiller--Xfr--Xstabiliser--Xdinp--Xldh--Xsph--Xpvc*Xfiller--Xpvc*Xfr--Xpvc*Xstabiliser--Xpvc*Xldh--Xfiller*Xfr--Xfiller*Xstabiliser--Xfiller*Xdinp--Xfiller*Xldh--Xfiller*Xsph--Xfr*Xstabiliser--Xfr*Xdinp--Xstabiliser*Xdinp--Xstabiliser*Xldh--Xstabiliser*Xsph--Xdinp*Xldh--Xdinp*Xsph--Xldh*Xsph--,24.0,-0.2569440597195786
24,--Xpvc--Xfiller--Xfr--Xstabiliser--Xdinp--Xldh--Xsph--Xpvc*Xfiller--Xpvc*Xfr--Xpvc*Xstabiliser--Xpvc*Xldh--Xpvc*Xsph--Xfiller*Xfr--Xfiller*Xstabiliser--Xfiller*Xdinp--Xfiller*Xldh--Xfiller*Xsph--Xfr*Xstabiliser--Xfr*Xdinp--Xstabiliser*Xdinp--Xstabiliser*Xldh--Xstabiliser*Xsph--Xdinp*Xldh--Xdinp*Xsph--Xldh*Xsph--,25.0,-0.3118168597029384
