,Model,No_terms,k15
0,--Xpvc--,1.0,-0.21603445981330768
1,--Xpvc--Xfiller--,2.0,-0.18872585149699828
2,--Xdinp--Xldh--Xdinp*Xldh--,3.0,-0.11879499151104438
3,--Xfiller--Xdinp--Xldh--Xdinp*Xldh--,4.0,-0.10929574728174946
4,--Xfiller--Xstabiliser--Xdinp--Xldh--Xdinp*Xldh--,5.0,-0.11124942683932545
5,--Xfiller--Xstabiliser--Xdinp--Xldh--Xstabiliser*Xldh--Xdinp*Xldh--,6.0,-0.1016962217553256
6,--Xpvc--Xfiller--Xstabiliser--Xdinp--Xldh--Xstabiliser*Xldh--Xdinp*Xldh--,7.0,-0.08926422343744601
7,--Xpvc--Xfiller--Xstabiliser--Xdinp--Xldh--Xfiller*Xldh--Xstabiliser*Xldh--Xdinp*Xldh--,8.0,-0.08875686139348146
8,--Xpvc--Xfiller--Xstabiliser--Xdinp--Xldh--Xpvc*Xdinp--Xfiller*Xldh--Xstabiliser*Xldh--Xdinp*Xldh--,9.0,-0.09037480121422678
9,--Xpvc--Xfr--Xstabiliser--Xdinp--Xldh--Xsph--Xpvc*Xfr--Xpvc*Xldh--Xstabiliser*Xldh--Xdinp*Xldh--,10.0,-0.09015194864179207
10,--Xpvc--Xfiller--Xfr--Xstabiliser--Xdinp--Xldh--Xsph--Xpvc*Xfr--Xfiller*Xldh--Xstabiliser*Xldh--Xdinp*Xldh--,11.0,-0.09311168744781718
11,--Xpvc--Xfiller--Xfr--Xstabiliser--Xdinp--Xldh--Xsph--Xpvc*Xfr--Xpvc*Xsph--Xfiller*Xldh--Xstabiliser*Xldh--Xdinp*Xldh--,12.0,-0.09544827866037657
12,--Xpvc--Xfiller--Xfr--Xstabiliser--Xdinp--Xldh--Xsph--Xpvc*Xfr--Xpvc*Xsph--Xfiller*Xldh--Xfr*Xstabiliser--Xstabiliser*Xldh--Xdinp*Xldh--,13.0,-0.09777671681319099
13,--Xpvc--Xfiller--Xfr--Xstabiliser--Xldh--Xsph--Xpvc*Xfr--Xpvc*Xldh--Xpvc*Xsph--Xfiller*Xldh--Xfr*Xstabiliser--Xfr*Xldh--Xstabiliser*Xldh--Xldh*Xsph--,14.0,-0.10173887023330741
14,--Xpvc--Xfiller--Xfr--Xstabiliser--Xldh--Xsph--Xpvc*Xfiller--Xpvc*Xfr--Xpvc*Xldh--Xfiller*Xstabiliser--Xfiller*Xldh--Xfiller*Xsph--Xfr*Xsph--Xstabiliser*Xldh--Xldh*Xsph--,15.0,-0.1064923931295376
15,--Xpvc--Xfiller--Xfr--Xstabiliser--Xldh--Xsph--Xpvc*Xfiller--Xpvc*Xfr--Xpvc*Xldh--Xfiller*Xfr--Xfiller*Xstabiliser--Xfiller*Xldh--Xfiller*Xsph--Xfr*Xsph--Xstabiliser*Xldh--Xldh*Xsph--,16.0,-0.10955901512442616
16,--Xpvc--Xfiller--Xfr--Xstabiliser--Xldh--Xsph--Xpvc*Xfiller--Xpvc*Xfr--Xpvc*Xldh--Xfiller*Xfr--Xfiller*Xldh--Xfiller*Xsph--Xfr*Xldh--Xfr*Xsph--Xstabiliser*Xldh--Xstabiliser*Xsph--Xldh*Xsph--,17.0,-0.12009097796902869
17,--Xpvc--Xfiller--Xfr--Xstabiliser--Xdinp--Xldh--Xsph--Xpvc*Xfiller--Xpvc*Xfr--Xpvc*Xstabiliser--Xpvc*Xldh--Xfiller*Xfr--Xfiller*Xldh--Xfiller*Xsph--Xstabiliser*Xldh--Xdinp*Xldh--Xdinp*Xsph--Xldh*Xsph--,18.0,-0.13072242685998722
