,Model,No_terms,k5
0,--Xpvc--,1.0,-0.22049473432210212
1,--Xpvc--Xfiller--,2.0,-0.1928927346990706
2,--Xdinp--Xldh--Xdinp*Xldh--,3.0,-0.1230422286733229
3,--Xfiller--Xdinp--Xldh--Xdinp*Xldh--,4.0,-0.1125404866116784
4,--Xfiller--Xdinp--Xldh--Xfiller*Xldh--Xdinp*Xldh--,5.0,-0.11457748009977092
5,--Xpvc--Xstabiliser--Xdinp--Xldh--Xstabiliser*Xldh--Xdinp*Xldh--,6.0,-0.10736998810086089
6,--Xpvc--Xfiller--Xstabiliser--Xdinp--Xldh--Xstabiliser*Xldh--Xdinp*Xldh--,7.0,-0.09340895645483373
7,--Xpvc--Xfiller--Xstabiliser--Xdinp--Xldh--Xpvc*Xdinp--Xstabiliser*Xldh--Xdinp*Xldh--,8.0,-0.09185423642975386
8,--Xpvc--Xfiller--Xstabiliser--Xdinp--Xldh--Xpvc*Xdinp--Xfiller*Xldh--Xstabiliser*Xldh--Xdinp*Xldh--,9.0,-0.0919630043274063
9,--Xpvc--Xfiller--Xfr--Xstabiliser--Xdinp--Xldh--Xpvc*Xfr--Xpvc*Xdinp--Xstabiliser*Xldh--Xdinp*Xldh--,10.0,-0.09297621133840953
10,--Xpvc--Xfiller--Xfr--Xstabiliser--Xdinp--Xldh--Xpvc*Xfr--Xpvc*Xdinp--Xfiller*Xldh--Xstabiliser*Xldh--Xdinp*Xldh--,11.0,-0.09640574919601821
11,--Xpvc--Xfiller--Xfr--Xstabiliser--Xdinp--Xldh--Xsph--Xpvc*Xfr--Xpvc*Xsph--Xfiller*Xldh--Xstabiliser*Xldh--Xdinp*Xldh--,12.0,-0.09892421299305022
12,--Xpvc--Xfiller--Xfr--Xstabiliser--Xdinp--Xldh--Xsph--Xpvc*Xfiller--Xpvc*Xfr--Xpvc*Xsph--Xfiller*Xldh--Xstabiliser*Xldh--Xdinp*Xldh--,13.0,-0.10248294701750661
13,--Xpvc--Xfiller--Xfr--Xstabiliser--Xdinp--Xldh--Xsph--Xpvc*Xfiller--Xpvc*Xfr--Xfiller*Xldh--Xfiller*Xsph--Xfr*Xdinp--Xstabiliser*Xldh--Xdinp*Xldh--,14.0,-0.11717133831000517
14,--Xpvc--Xfiller--Xfr--Xstabiliser--Xdinp--Xldh--Xsph--Xpvc*Xfr--Xpvc*Xstabiliser--Xpvc*Xldh--Xfiller*Xldh--Xfiller*Xsph--Xstabiliser*Xldh--Xdinp*Xsph--Xldh*Xsph--,15.0,-0.11892861066650197
15,--Xpvc--Xfiller--Xfr--Xstabiliser--Xdinp--Xldh--Xsph--Xpvc*Xfr--Xpvc*Xstabiliser--Xpvc*Xldh--Xfiller*Xfr--Xfiller*Xldh--Xfiller*Xsph--Xstabiliser*Xldh--Xdinp*Xsph--Xldh*Xsph--,16.0,-0.12435621489689325
16,--Xpvc--Xfiller--Xfr--Xstabiliser--Xdinp--Xldh--Xsph--Xpvc*Xfiller--Xpvc*Xfr--Xpvc*Xstabiliser--Xpvc*Xldh--Xfiller*Xfr--Xfiller*Xldh--Xfiller*Xsph--Xstabiliser*Xldh--Xdinp*Xsph--Xldh*Xsph--,17.0,-0.1322742169987916
17,--Xpvc--Xfiller--Xfr--Xstabiliser--Xdinp--Xldh--Xsph--Xpvc*Xfiller--Xpvc*Xfr--Xpvc*Xstabiliser--Xpvc*Xldh--Xfiller*Xfr--Xfiller*Xldh--Xfiller*Xsph--Xstabiliser*Xldh--Xdinp*Xldh--Xdinp*Xsph--Xldh*Xsph--,18.0,-0.13764391018596764
18,--Xpvc--Xfiller--Xfr--Xstabiliser--Xdinp--Xldh--Xsph--Xpvc*Xfiller--Xpvc*Xfr--Xpvc*Xstabiliser--Xpvc*Xldh--Xfiller*Xfr--Xfiller*Xldh--Xfiller*Xsph--Xfr*Xdinp--Xfr*Xldh--Xstabiliser*Xldh--Xdinp*Xsph--Xldh*Xsph--,19.0,-0.16666584309686208
