,Model,No_terms,k15
0,--Xpvc--,1.0,-0.16363982581462813
1,--Xpvc--Xldh--,2.0,-0.15387847801698376
2,--Xdinp--Xldh--Xdinp*Xldh--,3.0,-0.0946465129645523
3,--Xpvc--Xdinp--Xldh--Xdinp*Xldh--,4.0,-0.08914066832300552
4,--Xdinp--Xldh--Xsph--Xdinp*Xldh--Xdinp*Xsph--,5.0,-0.08771782618909206
5,--Xpvc--Xstabiliser--Xdinp--Xldh--Xstabiliser*Xldh--Xdinp*Xldh--,6.0,-0.07873628667100524
6,--Xpvc--Xfiller--Xstabiliser--Xdinp--Xldh--Xstabiliser*Xldh--Xdinp*Xldh--,7.0,-0.07562460481185017
7,--Xpvc--Xfiller--Xstabiliser--Xdinp--Xldh--Xfiller*Xstabiliser--Xstabiliser*Xldh--Xdinp*Xldh--,8.0,-0.07645211814653903
8,--Xpvc--Xfiller--Xfr--Xstabiliser--Xdinp--Xldh--Xfr*Xstabiliser--Xstabiliser*Xldh--Xdinp*Xldh--,9.0,-0.07730259501327653
9,--Xpvc--Xfiller--Xfr--Xstabiliser--Xdinp--Xldh--Xfiller*Xstabiliser--Xfr*Xstabiliser--Xstabiliser*Xldh--Xdinp*Xldh--,10.0,-0.07772604741159266
10,--Xpvc--Xfiller--Xfr--Xstabiliser--Xdinp--Xldh--Xfiller*Xstabiliser--Xfr*Xstabiliser--Xfr*Xldh--Xstabiliser*Xldh--Xdinp*Xldh--,11.0,-0.07958577053357034
11,--Xpvc--Xfiller--Xfr--Xstabiliser--Xdinp--Xldh--Xfiller*Xfr--Xfiller*Xstabiliser--Xfr*Xstabiliser--Xfr*Xldh--Xstabiliser*Xldh--Xdinp*Xldh--,12.0,-0.08390092716556274
12,--Xpvc--Xfiller--Xfr--Xstabiliser--Xdinp--Xldh--Xsph--Xfiller*Xstabiliser--Xfiller*Xsph--Xfr*Xstabiliser--Xstabiliser*Xldh--Xdinp*Xldh--Xdinp*Xsph--,13.0,-0.08630552741762341
13,--Xpvc--Xfiller--Xfr--Xstabiliser--Xdinp--Xldh--Xsph--Xfiller*Xstabiliser--Xfiller*Xsph--Xfr*Xstabiliser--Xfr*Xdinp--Xstabiliser*Xldh--Xdinp*Xldh--Xdinp*Xsph--,14.0,-0.09317510898867407
14,--Xpvc--Xfiller--Xfr--Xstabiliser--Xdinp--Xldh--Xsph--Xpvc*Xldh--Xfiller*Xldh--Xfr*Xstabiliser--Xfr*Xldh--Xstabiliser*Xldh--Xdinp*Xldh--Xdinp*Xsph--Xldh*Xsph--,15.0,-0.0943219084553551
15,--Xpvc--Xfiller--Xfr--Xstabiliser--Xdinp--Xldh--Xsph--Xpvc*Xldh--Xfiller*Xdinp--Xfiller*Xldh--Xfr*Xstabiliser--Xfr*Xldh--Xstabiliser*Xldh--Xdinp*Xldh--Xdinp*Xsph--Xldh*Xsph--,16.0,-0.10009265556255312
16,--Xpvc--Xfiller--Xfr--Xstabiliser--Xdinp--Xldh--Xsph--Xpvc*Xldh--Xfiller*Xstabiliser--Xfiller*Xdinp--Xfiller*Xldh--Xfr*Xstabiliser--Xfr*Xldh--Xstabiliser*Xldh--Xdinp*Xldh--Xdinp*Xsph--Xldh*Xsph--,17.0,-0.1041681394706543
17,--Xpvc--Xfiller--Xfr--Xstabiliser--Xdinp--Xldh--Xsph--Xpvc*Xfiller--Xpvc*Xldh--Xpvc*Xsph--Xfiller*Xldh--Xfr*Xstabiliser--Xfr*Xdinp--Xfr*Xldh--Xstabiliser*Xldh--Xdinp*Xldh--Xdinp*Xsph--Xldh*Xsph--,18.0,-0.1174772619059297
18,--Xpvc--Xfiller--Xfr--Xstabiliser--Xdinp--Xldh--Xsph--Xpvc*Xldh--Xpvc*Xsph--Xfiller*Xstabiliser--Xfiller*Xdinp--Xfiller*Xldh--Xfr*Xstabiliser--Xfr*Xdinp--Xfr*Xldh--Xstabiliser*Xldh--Xdinp*Xldh--Xdinp*Xsph--Xldh*Xsph--,19.0,-0.12607753505060115
